pokedex_number,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
125,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
126,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
127,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
128,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
129,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
130,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
131,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
132,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
133,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
134,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
135,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
136,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
137,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
138,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
139,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
140,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
141,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
142,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
143,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
144,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
145,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
146,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
147,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
148,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
149,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
150,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
151,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
152,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
153,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
154,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
155,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
156,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
157,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
158,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
159,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
160,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
161,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
162,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
163,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
164,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
165,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
166,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
167,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
168,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
169,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
170,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
171,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
172,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
173,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
174,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
175,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
176,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1
177,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
178,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
179,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
180,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
181,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
182,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
183,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
184,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
185,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
186,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
187,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
188,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
189,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
190,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
191,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
192,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
193,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
194,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
195,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
196,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
197,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
198,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
199,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
200,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
201,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
202,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
203,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
204,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
205,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
206,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
207,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
208,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
209,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
210,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
211,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
212,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
213,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
214,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1
215,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1
216,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
217,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
218,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
219,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4
220,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
221,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
222,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
223,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
224,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
225,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
226,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
227,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1
228,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
229,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
230,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25
231,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
232,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
233,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
234,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
235,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
236,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
237,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
238,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
239,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
240,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
241,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
242,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
243,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
244,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
245,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
246,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
247,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
248,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2
249,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
250,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
251,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
252,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
253,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
254,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
255,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
256,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
257,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
258,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
259,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
260,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
261,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
262,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
263,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
264,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
265,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
266,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
267,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
268,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
269,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
270,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
271,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
272,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25
273,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
274,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
275,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
276,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
277,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
278,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
279,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
280,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
281,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
282,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
283,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5
284,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
285,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
286,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5
287,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
288,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
289,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
290,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2
291,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
292,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1
293,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
294,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
295,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
296,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
297,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
298,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
299,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
300,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
301,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
302,1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1
303,0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1
304,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
